Contiguous U.S., Cooling Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
195012,1080,-109
195112,1168,-21
195212,1272,83
195312,1276,87
195412,1275,86
195512,1284,95
195612,1187,-2
195712,1188,-1
195812,1161,-28
195912,1299,110
196012,1177,-12
196112,1129,-60
196212,1160,-29
196312,1182,-7
196412,1162,-27
196512,1128,-61
196612,1123,-66
196712,1067,-122
196812,1105,-84
196912,1169,-20
197012,1209,20
197112,1171,-18
197212,1131,-58
197312,1213,24
197412,1108,-81
197512,1155,-34
197612,1016,-173
197712,1276,87
197812,1219,30
197912,1102,-87
198012,1298,109
198112,1198,9
198212,1130,-59
198312,1235,46
198412,1206,17
198512,1196,7
198612,1246,57
198712,1260,71
198812,1278,89
198912,1162,-27
199012,1263,74
199112,1329,140
199212,1054,-135
199312,1212,23
199412,1225,36
199512,1292,103
199612,1197,8
199712,1165,-24
199812,1423,234
199912,1306,117
200012,1258,69
200112,1275,86
200212,1379,190
200312,1280,91
200412,1222,33
200512,1388,199
200612,1359,170
200712,1388,199
200812,1273,84
200912,1230,41
201012,1444,255
201112,1456,267
201212,1479,290
201312,1287,98
201412,1272,83
201512,1457,268
201612,1528,339
201712,1390,201
201812,1547,358
201912,1455,266
202012,1474,285
