Contiguous U.S., Maximum Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,63.61,-0.39
195112,63.19,-0.81
195212,64.70,0.70
195312,65.76,1.76
195412,65.78,1.78
195512,63.96,-0.04
195612,64.92,0.92
195712,63.47,-0.53
195812,63.73,-0.27
195912,64.15,0.15
196012,63.43,-0.57
196112,63.82,-0.18
196212,63.96,-0.04
196312,64.65,0.65
196412,63.91,-0.09
196512,63.47,-0.53
196612,63.64,-0.36
196712,63.83,-0.17
196812,63.21,-0.79
196912,63.19,-0.81
197012,63.55,-0.45
197112,63.53,-0.47
197212,63.08,-0.92
197312,63.82,-0.18
197412,64.32,0.32
197512,63.23,-0.77
197612,64.07,0.07
197712,64.58,0.58
197812,62.77,-1.23
197912,62.71,-1.29
198012,64.44,0.44
198112,65.07,1.07
198212,62.83,-1.17
198312,63.07,-0.93
198412,63.59,-0.41
198512,63.05,-0.95
198612,64.90,0.90
198712,65.34,1.34
198812,65.18,1.18
198912,63.97,-0.03
199012,65.63,1.63
199112,64.80,0.80
199212,64.13,0.13
199312,62.68,-1.32
199412,64.80,0.80
199512,64.34,0.34
199612,63.71,-0.29
199712,63.72,-0.28
199812,65.63,1.63
199912,66.20,2.20
200012,65.31,1.31
200112,65.64,1.64
200212,65.19,1.19
200312,65.11,1.11
200412,64.61,0.61
200512,65.49,1.49
200612,66.41,2.41
200712,65.64,1.64
200812,64.45,0.45
200912,64.17,0.17
201012,64.66,0.66
201112,65.16,1.16
201212,67.69,3.69
201312,64.15,0.15
201412,64.34,0.34
201512,66.07,2.07
201612,66.69,2.69
201712,66.35,2.35
201812,65.09,1.09
201912,64.08,0.08
202012,66.33,2.33
