Year,USPop
1950,152270000
1951,154880000
1952,157550000
1953,160180000
1954,163030000
1955,165930000
1956,168900000
1957,171980000
1958,174880000
1959,177830000
1960,180670000
1961,183690000
1962,186540000
1963,189240000
1964,191890000
1965,194300000
1966,196560000
1967,198710000
1968,200710000
1969,202680000
1970,205050000
1971,207660000
1972,209900000
1973,211910000
1974,213850000
1975,215970000
1976,218040000
1977,220240000
1978,222580000
1979,225060000
1980,227220000
1981,229470000
1982,231660000
1983,233790000
1984,235820000
1985,237920000
1986,240130000
1987,242290000
1988,244500000
1989,246820000
1990,249620000
1991,252980000
1992,256510000
1993,259920000
1994,263130000
1995,266280000
1996,269390000
1997,272650000
1998,275850000
1999,279040000
2000,282160000
2001,284970000
2002,287630000
2003,290110000
2004,292810000
2005,295520000
2006,298380000
2007,301230000
2008,304090000
2009,306770000
2010,309320000
2011,311560000
2012,313830000
2013,315990000
2014,318300000
2015,320640000
2016,322940000
2017,324990000
2018,326690000
2019,328240000
2020,329880000
