Year,ACRES HARVESTED,"PRODUCTION, MEASURED IN BU","PRICE RECEIVED, MEASURED IN $ / BU","PRODUCTION, MEASURED IN $","YIELD, MEASURED IN BU / ACRE"
1950,72398000.0,2764071000.0,1.52,4222366000.0,38.2
1951,71191000.0,2628937000.0,1.66,4364659000.0,36.9
1952,71353000.0,2980793000.0,1.52,4557031000.0,41.8
1953,70738000.0,2881801000.0,1.48,4291366000.0,40.7
1954,68668000.0,2707913000.0,1.43,3872433000.0,39.4
1955,68462000.0,2872959000.0,1.35,3848649000.0,42.0
1956,64877000.0,3075336000.0,1.29,3967290000.0,47.4
1957,63065000.0,3045355000.0,1.11,3393496000.0,48.3
1958,63549000.0,3356205000.0,1.12,3755553000.0,52.8
1959,72091000.0,3824598000.0,1.05,4013126000.0,53.1
1960,71422000.0,3906949000.0,1.0,3928779000.0,54.7
1961,57634000.0,3597803000.0,1.1,3938994000.0,62.4
1962,55726000.0,3606311000.0,1.12,4025296000.0,64.7
1963,59227000.0,4019238000.0,1.11,4454048000.0,67.9
1964,55369000.0,3484253000.0,1.17,4064208000.0,62.9
1965,55392000.0,4102867000.0,1.16,4754199000.0,74.1
1966,57002000.0,4167608000.0,1.24,5170973000.0,73.1
1967,60694000.0,4860372000.0,1.03,5044235000.0,80.1
1968,55980000.0,4449542000.0,1.08,4825623000.0,79.5
1969,54574000.0,4687057000.0,1.16,5415997000.0,85.9
1970,57358000.0,4152243000.0,1.33,5514702000.0,72.4
1971,64123000.0,5646260000.0,1.08,6101055000.0,88.1
1972,57513000.0,5579832000.0,1.57,8743036000.0,97.0
1973,62143000.0,5670712000.0,2.55,14462744000.0,91.3
1974,65405000.0,4701402000.0,3.02,14231557000.0,71.9
1975,67625000.0,5840757000.0,2.54,14817840000.0,86.4
1976,71506000.0,6289169000.0,2.15,13524134000.0,88.0
1977,71614000.0,6505041000.0,2.02,13107420000.0,90.8
1978,71930000.0,7267927000.0,2.25,16280688000.0,101.0
1979,72400000.0,7928139000.0,2.52,19876655000.0,109.5
1980,72961000.0,6639396000.0,3.11,20554147000.0,91.0
1981,74524000.0,8118650000.0,2.5,20200261000.0,108.9
1982,72719000.0,8235101000.0,2.55,21641046000.0,113.2
1983,51479000.0,4174251000.0,3.21,13552853000.0,81.1
1984,71897000.0,7672130000.0,2.63,20143883000.0,106.7
1985,75209000.0,8875453000.0,2.23,19518762000.0,118.0
1986,68907000.0,8225764000.0,1.5,12507263000.0,119.4
1987,59505000.0,7131300000.0,1.94,14107705000.0,119.8
1988,58250000.0,4928681000.0,2.54,12661362000.0,84.6
1989,64783000.0,7531953000.0,2.36,17912895000.0,116.3
1990,66952000.0,7934028000.0,2.28,18191643000.0,118.5
1991,68822000.0,7474765000.0,2.37,17860947000.0,108.6
1992,72077000.0,9476698000.0,2.07,19723258000.0,131.5
1993,62933000.0,6337730000.0,2.5,16035515000.0,100.7
1994,72514000.0,10050520000.0,2.26,22874154000.0,138.6
1995,65210000.0,7400051000.0,3.24,24202234000.0,113.5
1996,72644000.0,9232557000.0,2.71,25149013000.0,127.1
1997,71879727.0,8969655049.0,2.43,22351507000.0,126.7
1998,72589000.0,9758685000.0,1.94,18922084000.0,134.4
1999,70487000.0,9430612000.0,1.82,17103991000.0,133.8
2000,72440000.0,9915051000.0,1.85,18499002000.0,136.9
2001,68768000.0,9502580000.0,1.97,18878819000.0,138.2
2002,68780261.5,8789924407.0,2.32,20882448000.0,129.3
2003,70944000.0,10087292000.0,2.42,24472254000.0,142.2
2004,73631000.0,11805581000.0,2.06,24377913000.0,160.3
2005,75117000.0,11112187000.0,2.0,22194287000.0,147.9
2006,70638000.0,10531123000.0,3.04,32083011000.0,149.1
2007,86384271.0,12888197165.0,4.2,54666959000.0,150.7
2008,78570000.0,12043203000.0,4.06,49104148000.0,153.3
2009,79490000.0,13067156000.0,3.55,46640936000.0,164.4
2010,81446000.0,12425330000.0,5.18,64529628000.0,152.6
2011,83879000.0,12313956000.0,6.22,76651242000.0,146.8
2012,87389022.5,10544260578.5,6.89,74155299000.0,123.1
2013,87461000.0,13830704000.0,4.46,61935222000.0,158.1
2014,83146000.0,14217292000.0,3.7,52958412000.0,171.0
2015,80753000.0,13601964000.0,3.61,49339261000.0,168.4
2016,86748000.0,15148038000.0,3.36,51304297000.0,174.6
2017,83735781.0,14691405215.0,3.36,49567854000.0,176.6
2018,81276000.0,14340369000.0,3.61,52102404000.0,176.4
2019,81337000.0,13619928000.0,3.56,48940622000.0,167.5
2020,82313000.0,14111449000.0,4.53,61039005000.0,171.4
